"tr_n";"k";"p";"o";"s";"tr_type";"tr_cap"
"221/222";5;10;0;0;"rapid";720
"247/248";13;5;0;0;"rapid";738
"301/302";10;6;0;0;"pass";684
"319/320";10;7;0;0;"pass";738
"329/330";10;7;0;0;"pass";738
"333/334";9;5;0;1;"pass";612
"351/352";12;3;0;0;"pass";594
"355/356";10;6;0;0;"pass";684
"365/366";6;9;0;1;"pass";720
"381/382";8;7;0;1;"pass";684
"391/392";8;7;0;0;"pass";666
"411/412";5;11;0;0;"pass";774
"23/24";4;9;0;2;"rapid";666
"41/42";9;9;0;1;"rapid";828
"79/80";8;6;0;1;"rapid";630
"97/98";12;5;1;0;"rapid";783
"9/10";11;6;0;1;"rapid";738
"15/16";8;7;0;1;"rapid";684
"17/18";12;4;0;1;"rapid";666
"19/20";4;10;0;2;"rapid";720
"23/24";6;14;0;1;"rapid";990
"25/26";11;7;0;1;"rapid";792
"27/28";7;8;0;1;"rapid";702
"29/30";8;9;0;1;"rapid";792
"57/58";11;9;0;1;"rapid";900
"65/66";7;9;0;1;"rapid";756
"67/68";7;9;0;2;"rapid";774
"69/70";11;8;0;0;"rapid";828
"71/72";9;10;0;2;"rapid";900
"73/74";11;6;0;2;"rapid";756
"75/76";5;12;0;1;"rapid";846
"77/78";11;5;0;1;"rapid";684
"91/92";9;5;0;1;"rapid";612
"97/98";10;8;0;1;"rapid";810
"109/110";6;12;0;1;"rapid";882
"113/114";10;3;0;1;"rapid";540
"181/182";5;11;0;0;"rapid";774
"187/188";5;11;0;0;"rapid";774
"195/196";5;9;0;0;"rapid";666
"197/198";4;10;0;0;"rapid";684
"199/200";5;11;0;0;"rapid";774
"203/204";13;3;0;0;"rapid";630
"207/208";14;4;0;0;"rapid";720
"211/212";10;6;0;1;"rapid";702
"219/220";6;13;0;0;"rapid";918
"221/222";6;13;0;0;"rapid";918
"229/230";4;11;0;0;"rapid";738
"231/232";8;8;0;0;"rapid";720
"233/234";6;11;0;0;"rapid";810
"283/284";13;5;0;0;"rapid";738
"293/294";13;2;0;0;"rapid";576
"291/292";14;3;0;0;"rapid";666
"415/416";5;15;0;0;"pass";990
"457/458";5;10;0;0;"pass";720
"465/466";5;10;0;0;"pass";720
"517/518";5;9;0;0;"pass";666
"21/22";5;11;0;3;"rapid";828
"61/62";9;4;0;0;"rapid";540
"105/106";8;8;0;2;"rapid";756
"117/118";10;1;0;1;"rapid";432
"141/142";6;7;2;1;"rapid";774
"603/604";10;9;0;1;"pass";864
"1/2";0;11;0;7;"rapid";720
"3/4";7;8;2;1;"rapid";864
"661/662";9;3;0;0;"pass";486
"3/4";8;6;0;2;"rapid";648
"5/6";12;4;0;0;"rapid";648
"21/22";5;12;0;1;"rapid";846
"23/24";6;10;0;1;"rapid";774
"33/34";4;10;0;1;"rapid";702
"41/42";8;7;0;1;"rapid";684
"47/48";9;9;0;1;"rapid";828
"55/56";8;7;0;1;"rapid";684
"61/62";14;4;0;0;"rapid";720
"65/66";4;15;0;1;"rapid";972
"73/74";11;5;0;0;"rapid";666
"77/78";11;4;0;0;"rapid";612
"79/80";10;5;0;1;"rapid";648
"89/90";12;5;0;1;"rapid";720
"103/104";5;10;0;0;"rapid";720
"117/118";9;4;0;1;"rapid";558
"125/126";5;13;0;0;"rapid";882
"141/142";9;5;0;0;"rapid";594
"185/186";5;11;0;0;"rapid";774
"193/194";9;9;0;0;"rapid";810
"201/202";5;13;0;1;"rapid";900
"211/212";5;10;0;0;"rapid";720
"217/218";11;5;0;0;"rapid";666
"223/224";4;11;0;1;"rapid";756
"233/234";6;9;0;1;"rapid";720
"235/236";10;4;0;0;"rapid";576
"237/238";3;13;0;0;"rapid";810
"243/244";8;8;0;1;"rapid";738
"251/252";5;10;0;0;"rapid";720
"341/342";12;7;0;0;"pass";810
"463/464";10;4;0;0;"pass";576
"585/586";5;10;0;0;"pass";720
"593/594";5;10;0;0;"pass";720
"205/506";7;7;0;1;"rapid";648
"501/502";7;7;0;1;"pass";648
"503/504";7;7;0;1;"pass";648
"1/2";0;11;0;6;"rapid";702
"5/6";4;11;0;2;"rapid";774
"9/10";5;12;0;2;"rapid";864
"25/26";9;4;0;1;"rapid";558
"27/28";9;6;0;1;"rapid";666
"29/30";7;8;0;1;"rapid";702
"39/40";9;4;0;1;"rapid";558
"55/56";7;7;0;2;"rapid";666
"75/76";10;5;0;0;"rapid";630
"77/78";5;7;0;1;"rapid";576
"131/132";10;5;0;1;"rapid";648
"147/148";8;7;0;1;"rapid";684
"395/396";9;5;0;0;"pass";594
"509/510";5;10;0;0;"pass";720
"519/520";8;7;0;0;"pass";666
"537/538";5;10;0;0;"pass";720
"551/552";5;10;0;0;"pass";720
"191/192";3;14;0;0;"pass";864
"235/236";3;12;0;0;"rapid";756
"419/420";5;9;0;1;"pass";684
"449/450";5;15;0;1;"pass";1008
"603/604";10;8;0;1;"pass";810
"602/601";13;5;2;0;"pass";900
"1/2";0;12;0;1;"rapid";666
"7/8";5;8;0;0;"rapid";612
"79/80";8;6;0;1;"rapid";630
"9/10";5;9;0;1;"rapid";684
"11/12";7;8;0;1;"rapid";702
