"tr_n";"k";"p";"o";"s";"tr_type";"tr_cap"
"71/71";8;8;0;0;"rapid";720
"77/78л";7;11;0;0;"rapid";846
"81/82л";7;8;0;0;"rapid";684
"81/82";6;9;0;0;"rapid";702
"87/87л";10;8;2;1;"rapid";972
"87/87з";9;9;1;1;"rapid";909
"91/92з";9;10;0;0;"rapid";864
"99/99л";9;6;0;0;"rapid";648
"99/99з";8;7;0;0;"rapid";666
"115/115";9;7;0;0;"rapid";702
"197/197л";8;7;0;0;"rapid";666
"197/197з";7;8;0;0;"rapid";684
" 205/205";8;7;0;0;"rapid";666
"235/235";10;6;0;0;"rapid";684
"239/240";11;7;0;0;"rapid";774
"241/242";11;7;0;0;"rapid";774
"269/270";10;8;0;0;"rapid";792
"273/274";10;8;0;0;"rapid";792
"339/340л";8;12;0;1;"pass";954
"339/340з";8;12;0;1;"pass";954
"348/347";10;10;1;0;"pass";981
"349/350л";9;11;0;0;"pass";918
"358/357";5;8;2;0;"pass";774
"362/361л";11;7;1;0;"pass";855
"362/361з";11;8;1;0;"pass";909
"7/8л";8;9;0;0;"rapid";774
"19/20";9;10;0;0;"rapid";864
"21/22";7;10;0;1;"rapid";810
"30/29";5;9;1;1;"rapid";765
"35/36";8;7;0;0;"rapid";666
"39/40";6;9;0;1;"rapid";720
"42/42";4;8;0;1;"rapid";594
"45/45";8;9;0;1;"rapid";792
"49/49";9;10;0;0;"rapid";864
"50/49";12;6;0;0;"rapid";756
"52/51";7;7;0;1;"rapid";648
"55/56";8;9;0;0;"rapid";774
"58/57";4;12;0;0;"rapid";792
"62/61л";9;6;0;1;"rapid";666
"62/61з";9;6;0;1;"rapid";666
"61/61";7;9;1;0;"rapid";819
"73/74";6;10;0;1;"rapid";774
"79/79";7;7;0;1;"rapid";648
"80/79";5;9;0;0;"rapid";666
"80/79з";6;8;0;0;"rapid";648
"81/82";6;11;0;1;"rapid";828
"83/83";3;13;0;0;"rapid";810
"87/88з";2;13;2;0;"rapid";936
"93/94";6;10;0;1;"rapid";774
"102/101";1;14;0;0;"rapid";792
"109/109";7;9;0;0;"rapid";738
"111/111";7;10;0;0;"rapid";792
"116/115л";12;8;0;1;"rapid";882
"116/115з";11;8;0;1;"rapid";846
"121/121л";7;7;0;0;"rapid";630
"121/121з";7;7;0;0;"rapid";630
"123/124";10;8;0;0;"rapid";792
"132/131";5;10;0;0;"rapid";720
"135/135";7;5;0;1;"rapid";540
"140/139";6;11;0;1;"rapid";828
"144/143";5;15;0;0;"rapid";990
"146/145(1)";8;9;0;0;"rapid";774
"146/145(2)";10;7;0;0;"rapid";738
"193/193";8;11;0;0;"rapid";882
"202/201з";9;9;0;0;"rapid";810
"206/205";5;10;0;0;"rapid";720
"212/211л";10;7;0;0;"rapid";738
"212/211з";9;8;0;0;"rapid";756
"219/220л";3;12;0;0;"rapid";756
"219/220з";1;14;0;0;"rapid";792
"226/225";9;9;0;0;"rapid";810
"227/228";7;8;0;1;"rapid";702
"231/232";8;7;0;0;"rapid";666
"237/237";9;9;0;0;"rapid";810
"239/240";9;10;0;0;"rapid";864
"242/241";9;7;0;1;"rapid";720
"245/246";13;6;0;1;"rapid";810
"247/248";10;5;0;0;"rapid";630
"251/252";9;4;0;1;"rapid";558
"259/259";10;9;0;1;"rapid";864
"265/265";9;6;0;0;"rapid";648
"269/270";10;7;0;0;"rapid";738
"271/272";7;9;0;0;"rapid";738
"275/276";9;8;0;0;"rapid";756
"286/285";7;10;0;0;"rapid";792
"289/290";7;8;0;0;"rapid";684
"293/293";9;6;0;0;"rapid";648
"295/295";11;6;0;0;"rapid";720
"298/298л";6;10;3;0;"rapid";999
"298/298з";4;12;3;0;"rapid";1035
"315/315";6;7;1;0;"pass";675
"335/335";7;7;0;1;"pass";648
"337/337";11;7;1;1;"pass";873
"347/347л";7;10;1;1;"pass";891
"347/347з";7;11;0;1;"pass";864
"350/350";4;7;2;0;"pass";684
"374/373л";8;11;1;0;"pass";963
"374/373з";7;12;1;0;"pass";981
"382/381";9;6;0;0;"pass";648
"384/383";3;14;0;0;"pass";864
"387";7;9;0;0;"pass";738
"388";8;11;0;0;"pass";882
"391";7;9;0;0;"pass";738
"392";7;9;0;0;"pass";738
"457/457";8;7;0;0;"pass";666
"604/622л";3;8;3;0;"pass";783
"621/603л";3;8;3;0;"pass";783
"604/622з";3;9;2;0;"pass";756
"621/603з";3;9;2;0;"pass";756
"607/607";2;10;5;0;"pass";1017
"657/658л";7;9;0;1;"pass";756
"657/658з";5;11;0;1;"pass";792
"662/661л";3;10;7;0;"pass";1215
"662/661з";3;16;1;0;"pass";1053
"677/677л";4;12;4;0;"pass";1116
"677/677з";4;12;4;0;"pass";1116
"680/680";5;6;2;0;"pass";666
"8/7";13;6;0;1;"rapid";810
"33";16;0;0;1;"rapid";594
"43";16;0;0;2;"rapid";612
"6/5";14;0;0;1;"rapid";522
"5/6";13;0;0;1;"rapid";486
"20/19";11;0;0;1;"rapid";414
"43/44л";9;8;0;0;"rapid";756
"43/44з";7;9;0;0;"rapid";738
"239/240";11;7;0;0;"rapid";774
"64/63";8;7;0;1;"rapid";684
"104/103";5;12;0;0;"rapid";828
"113/114";11;5;0;0;"rapid";666
"67/68л";9;8;0;0;"rapid";756
"67/68з";8;10;0;0;"rapid";828
"77/78з";10;8;0;0;"rapid";792
"81/82л";7;8;0;0;"rapid";684
"81/82з";6;9;0;0;"rapid";702
"91/92з";9;10;0;0;"rapid";864
"95/96";8;6;0;0;"rapid";612
"197/197л";8;7;0;0;"rapid";666
"197/197з";7;8;0;0;"rapid";684
"99/99л";9;6;0;0;"rapid";648
"99/99з";8;7;0;0;"rapid";666
"129/129л";5;9;0;0;"rapid";666
"129/129з";7;8;0;0;"rapid";684
"235/235";10;6;0;0;"rapid";684
"115/115";9;7;0;0;"rapid";702
"117/118";5;12;0;1;"rapid";846
"127/128л";7;12;0;0;"rapid";900
"127/128з";9;11;0;0;"rapid";918
"136/136";7;6;0;1;"rapid";594
"137/138";8;7;0;0;"rapid";666
"205/205";8;7;0;0;"rapid";666
"211/211";8;9;0;0;"rapid";774
"241/242";11;7;0;0;"rapid";774
"269/270";10;8;0;0;"rapid";792
"243/243";6;9;0;0;"rapid";702
" 249/250";7;9;0;0;"rapid";738
"253/254";9;11;0;0;"rapid";918
"257/258";7;10;0;0;"rapid";792
"273/274";10;8;0;0;"rapid";792
"301/301";8;10;0;1;"pass";846
"325/326л";9;10;0;0;"pass";864
"339/340л";8;12;0;1;"pass";954
"339/340з";8;12;0;1;"pass";954
"349/350л";9;11;0;0;"pass";918
"345/345";5;7;0;0;"pass";558
"369/369";5;12;0;0;"pass";828
"371/371";4;8;0;0;"pass";576
"385/385";6;12;0;0;"pass";864
"397/398";7;9;0;0;"pass";738
"510/510";11;6;0;0;"pass";720
"602/601з";9;11;1;0;"pass";999
"603/604л";7;10;6;0;"pass";1278
"609/609";4;9;3;0;"pass";873
"625/626";6;10;2;0;"pass";918
"647/648";7;10;1;0;"pass";873
"12/12л";7;5;0;2;"rapid";558
"11/12з";7;5;0;2;"rapid";558
"14/14л";9;11;0;1;"rapid";936
"18/17";10;4;0;1;"rapid";594
"19/20";7;5;0;2;"rapid";558
"24/23";11;5;0;1;"rapid";684
"26/25";10;4;0;1;"rapid";594
"27/27л";9;7;0;1;"rapid";720
"27/27з";7;10;0;2;"rapid";828
"33/34";9;6;0;1;"rapid";666
"49/49";9;9;0;0;"rapid";810
"52/52";14;3;0;0;"rapid";666
"55/55";5;9;0;1;"rapid";684
"61/62";14;6;0;1;"rapid";846
"75/76л";5;12;0;1;"rapid";846
"77/77";11;5;0;1;"rapid";684
"85/86";9;7;0;1;"rapid";720
"87/88";10;10;0;1;"rapid";918
"99/99";9;6;0;0;"rapid";648
"104/104л";15;0;0;2;"rapid";576
"104/104з";11;4;0;2;"rapid";648
"116/115л";12;8;0;1;"rapid";882
"116/115з";11;8;0;1;"rapid";846
"121/121л";7;7;0;0;"rapid";630
"121/121з";7;7;0;0;"rapid";630
"126/126";9;7;0;0;"rapid";702
"127/128л";7;12;0;0;"rapid";900
"129/129л";5;9;0;0;"rapid";666
"135/135";7;5;0;1;"rapid";540
"143/144";9;6;0;1;"rapid";666
"181/182";11;5;0;0;"rapid";666
"193/193";9;8;0;0;"rapid";756
"197/197";8;7;0;0;"rapid";666
"202/202";1;14;0;0;"rapid";792
"204/203";6;10;0;0;"rapid";756
"205/205";8;7;0;0;"rapid";666
"211/211";8;9;0;0;"rapid";774
"216/215";11;5;0;0;"rapid";666
"221/222";12;5;0;0;"rapid";702
"224/224";7;7;0;1;"rapid";648
"226/225";9;9;0;0;"rapid";810
"227/228";7;8;0;1;"rapid";702
"231/232";7;8;0;1;"rapid";702
"233/233";11;9;0;1;"rapid";900
"235/235";10;6;0;0;"rapid";684
"237/237";12;5;0;0;"rapid";702
"241/242";11;7;0;0;"rapid";774
"243/243";6;9;0;0;"rapid";702
"245/246";13;6;0;1;"rapid";810
"248/247";1;14;0;0;"rapid";792
"249/250";7;9;0;0;"rapid";738
"257/257";7;10;0;0;"rapid";792
"259/259";10;9;0;1;"rapid";864
"269/270";10;8;0;0;"rapid";792
"273/274";10;8;0;0;"rapid";792
"283/284";5;11;0;1;"rapid";792
"286/285";7;10;0;0;"rapid";792
"289/290";7;8;0;0;"rapid";684
"293/293";9;6;0;0;"rapid";648
"297/297";10;3;0;1;"rapid";540
"302/302";5;10;0;1;"pass";738
"310/309з";11;6;0;0;"pass";720
"322/321л";9;7;0;1;"pass";720
"325/326л";9;9;0;0;"pass";810
"336/336";9;9;0;0;"pass";810
"346/346";7;11;0;1;"pass";864
"350/349";6;9;0;1;"pass";720
"353/354л";8;11;0;0;"pass";882
"356/355";6;9;0;1;"pass";720
"360/360л";7;12;0;0;"pass";900
"365/366";9;6;0;1;"pass";666
"368/367л";7;9;1;0;"pass";819
"369/369";7;9;0;0;"pass";738
"373/373";9;11;0;0;"pass";918
"376/376";4;13;0;0;"pass";846
"378/377";9;6;0;1;"pass";666
"382/382";7;7;0;1;"pass";648
"390/389";5;10;0;1;"pass";738
"392/391";13;6;0;1;"pass";810
"401/401";8;11;0;1;"pass";900
"406/406";7;9;0;0;"pass";738
"405/406";8;9;0;0;"pass";774
"407/408";8;10;0;0;"pass";828
"409/410";8;8;0;1;"pass";738
"412/412";12;5;0;1;"pass";720
"413/413";8;9;0;0;"pass";774
"415/415";9;5;0;0;"pass";594
"418/417";13;6;0;0;"pass";792
"419/419";7;9;0;0;"pass";738
"421/422";7;10;0;0;"pass";792
"423/423";8;8;0;0;"pass";720
"427/428";9;9;0;0;"pass";810
"435/436";10;10;0;0;"pass";900
"437/437";8;11;0;0;"pass";882
"439/439";7;12;0;0;"pass";900
"442/442";9;10;0;0;"pass";864
"444/443";8;10;0;0;"pass";828
"445/446";8;8;0;0;"pass";720
"447/448";12;6;0;0;"pass";756
"450/450";7;9;0;0;"pass";738
"453/454";8;8;0;0;"pass";720
"455/456";7;8;0;0;"pass";684
"457/457";9;6;0;0;"pass";648
"459/460";11;8;0;0;"pass";828
"461/462";10;10;0;1;"pass";918
"463/464";11;5;0;1;"pass";684
"465/466";8;7;0;1;"pass";684
"468/468";10;9;0;0;"pass";846
"471/472";9;7;0;1;"pass";720
"474/473";7;9;0;0;"pass";738
"475/476";12;7;0;0;"pass";810
"477/478";12;8;0;1;"pass";882
"480/479";8;8;0;0;"pass";720
"482/481";8;7;0;0;"pass";666
"483/484";10;8;0;0;"pass";792
"485/486";9;7;0;0;"pass";702
"490/490";10;9;0;1;"pass";864
"493/493";8;7;0;0;"pass";666
"495/496";8;10;0;0;"pass";828
"510/510";11;6;0;0;"pass";720
"527/528";1;13;0;0;"pass";738
"536/536";8;8;0;1;"pass";738
"547/547";10;6;0;0;"pass";684
"557/557";1;14;0;0;"pass";792
"568/567";7;12;0;0;"pass";900
"607/607";10;3;0;1;"pass";540
"629/630";5;10;0;0;"pass";720
"642/642л";14;4;0;1;"pass";738
"642/642з";10;7;0;3;"pass";792
"644/643";13;7;0;1;"pass";864
"648/647";4;12;0;1;"pass";810
"651/652";9;3;0;0;"pass";486
"678/677";9;5;0;1;"pass";612
"684/683";2;9;0;0;"pass";558
"243/244";6;10;0;1;"pass";774
"245/246";13;6;0;1;"pass";810
"248/247";1;14;0;0;"pass";792
"251/252";9;4;0;1;"pass";558
"253/254";9;11;0;0;"pass";918
"257/258";8;9;0;0;"pass";774
"257/257";7;10;0;0;"pass";792
"259/259";10;9;0;1;"pass";864
"261/262";7;11;0;0;"pass";846
"264/263";9;9;0;0;"pass";810
"265/265";9;6;0;0;"pass";648
"268/268";6;9;0;0;"pass";702
"269/270";10;7;0;0;"pass";738
"271/272";7;9;0;0;"pass";738
"275/276";9;8;0;0;"pass";756
"279/280";9;8;0;0;"pass";756
"281/281";9;7;0;0;"pass";702
"283/284";5;11;0;1;"pass";792
"286/285";7;10;0;0;"pass";792
"287/288";7;11;0;0;"pass";846
"289/290";7;8;0;0;"pass";684
"291/292";9;5;0;0;"pass";594
"293/293";9;6;0;0;"pass";648
"295/295";11;6;0;0;"pass";720
"297/297";10;3;0;1;"pass";540
"307/307";6;5;4;0;"pass";810
"310/309з";11;6;0;0;"pass";720
"311/311";4;12;0;0;"pass";792
"319/320";6;10;0;0;"pass";756
"322/321л";9;7;0;1;"pass";720
"322/321з";8;8;0;0;"pass";720
"325/326л";9;9;0;0;"pass";810
"325/326з";8;9;0;0;"pass";774
"328/327";4;11;0;0;"pass";738
"329/330";6;10;0;0;"pass";756
"331/332";10;5;0;0;"pass";630
"336/336";9;9;0;0;"pass";810
"344/343";3;12;0;0;"pass";756
"350/349";6;9;0;1;"pass";720
"360/360";7;12;0;0;"pass";900
"359/360";6;10;0;0;"pass";756
"365/366";9;6;0;1;"pass";666
"369/369";7;9;0;0;"pass";738
"371/382л";9;8;0;0;"pass";756
"371/372з";8;9;0;0;"pass";774
"376/376";4;13;0;0;"pass";846
"378/377";9;6;0;1;"pass";666
"379/379";9;7;0;0;"pass";702
"382/382";7;7;0;1;"pass";648
"384/383";3;14;0;0;"pass";864
"395/395";6;10;0;0;"pass";756
"401/401";8;11;0;1;"pass";900
"403/404";7;8;0;0;"pass";684
"405/406";8;9;0;0;"pass";774
"412/412";12;5;0;1;"pass";720
"413/413";8;9;0;0;"pass";774
"415/415";9;5;0;0;"pass";594
"418/417";13;6;0;0;"pass";792
"419/419";7;9;0;0;"pass";738
"423/424";9;9;0;0;"pass";810
"427/428";9;9;0;0;"pass";810
"435/436";10;10;0;0;"pass";900
"437/437";8;11;0;0;"pass";882
"339/340л";8;5;3;0;"pass";801
"439/439л";7;12;0;0;"pass";900
"441/441";10;6;0;0;"pass";684
"442/442";9;10;0;0;"pass";864
"444/443";8;10;0;0;"pass";828
"447/448";12;6;0;0;"pass";756
"450/450";7;9;0;0;"pass";738
"459/460";10;9;0;0;"pass";846
"462/462";8;9;1;0;"pass";855
"463/464";11;5;0;1;"pass";684
"468/468";10;9;0;0;"pass";846
"469/470";8;6;0;0;"pass";612
"471/472";9;7;0;1;"pass";720
"474/473";7;9;0;0;"pass";738
"475/476";12;7;0;0;"pass";810
"480/479";8;8;0;0;"pass";720
"482/481";8;7;0;0;"pass";666
"485/486";9;7;0;0;"pass";702
"487/488";9;5;0;0;"pass";594
"489/490";7;11;0;0;"pass";846
"495/496";8;10;0;0;"pass";828
"527/528";1;13;0;0;"pass";738
"557/557";1;14;0;0;"pass";792
"568/567";7;12;0;0;"pass";900
"581/582";1;14;0;0;"pass";792
"651/651";4;15;3;0;"pass";1197
"5/6";5;11;0;1;"rapid";792
"17/18";2;15;0;0;"rapid";882
"28/27л";10;7;0;1;"rapid";756
"28/27з";8;10;0;0;"rapid";828
"52/51";7;6;0;2;"rapid";612
"56/55л";7;5;3;1;"rapid";783
"56/55з";6;7;2;1;"rapid";774
"64/63";6;8;1;0;"rapid";729
"66/66";6;10;1;1;"rapid";855
"68/67";7;6;1;0;"rapid";657
"68/67";6;6;1;0;"rapid";621
"71/72";6;8;0;1;"rapid";666
"83/84";8;11;0;0;"rapid";882
"99/99л";10;8;0;0;"rapid";792
"99/99з";8;7;0;0;"rapid";666
"112/112";5;9;1;1;"rapid";765
"114/113";12;0;0;3;"rapid";486
"115/115л";9;7;0;0;"rapid";702
"115/115з";9;7;0;0;"rapid";702
"122/121л";5;8;4;0;"rapid";936
"122/121з";5;11;1;0;"rapid";855
"127/128л";7;12;0;0;"rapid";900
"127/128з";9;11;0;0;"rapid";918
"129/129л";5;12;0;0;"rapid";828
"129/129з";7;8;0;0;"rapid";684
"131/132л";9;9;0;1;"rapid";828
"131/132з";7;11;0;1;"rapid";864
"142/142з";6;13;0;0;"rapid";918
"189/190(1)";7;12;0;0;"rapid";900
"189/190(2)";7;12;0;0;"rapid";900
"193/193";9;8;0;0;"rapid";756
"197/197л";8;7;0;0;"rapid";666
"197/197з";7;8;0;0;"rapid";684
"205/205";8;7;0;0;"rapid";666
"208/207";10;8;0;0;"rapid";792
"209/210";8;8;0;0;"rapid";720
"211/211з";8;9;0;0;"rapid";774
"214/213";6;8;1;0;"rapid";729
"233/233";11;9;0;1;"rapid";900
"235/235";11;9;0;0;"rapid";882
"243/243";6;9;0;0;"rapid";702
"249/250";7;9;0;0;"rapid";738
"253/254";9;11;0;0;"rapid";918
"257/257";7;10;0;0;"rapid";792
"279/280";9;8;0;0;"rapid";756
"302/301";8;7;2;0;"pass";828
"318/317";5;11;0;0;"pass";774
"324/323";7;7;1;0;"pass";711
"325/326л";9;9;0;0;"pass";810
"325/326з";8;9;0;0;"pass";774
"238/237";4;11;0;0;"pass";738
"332/331л";8;7;1;1;"pass";765
"332/331з";9;8;0;0;"pass";756
"336/336";9;9;0;0;"pass";810
"337/337";11;7;1;1;"pass";873
"346/346л";7;11;0;1;"pass";864
"346/346з";5;8;0;1;"pass";630
"347/347л";7;10;1;1;"pass";891
"347/347з";7;11;0;1;"pass";864
"352/351";7;9;2;0;"pass";900
"353/354л";8;11;0;0;"pass";882
"353/354з";10;9;0;0;"pass";846
"356/355";7;10;3;0;"pass";1035
"358/357";8;7;0;1;"pass";684
"360/359л";8;5;1;1;"pass";657
"360/359з";9;7;1;0;"pass";783
"364/363";5;9;0;1;"pass";684
"368/367";7;9;1;0;"pass";819
"371/372л";9;8;0;0;"pass";756
"371/372з";8;9;0;0;"pass";774
"373/373";9;11;0;0;"pass";918
"381/381";6;11;0;0;"pass";810
"391/392л";7;6;1;0;"pass";657
"391/392з";7;10;0;0;"pass";792
"393/393з";7;11;0;0;"pass";846
"401/401";8;11;0;1;"pass";900
"403/404";7;8;0;0;"pass";684
"407/408";8;10;0;0;"pass";828
"409/410";8;8;0;1;"pass";738
"419/419";7;9;0;0;"pass";738
"421/422";7;10;0;0;"pass";792
"423/423";8;8;0;0;"pass";720
"426/425";6;9;0;0;"pass";702
"435/436";10;10;0;0;"pass";900
"439/439";8;5;3;0;"pass";801
"441/441";10;6;1;0;"pass";765
"445/446";8;8;0;0;"pass";720
"450/450";7;9;0;0;"pass";738
"453/454";8;8;0;0;"pass";720
"455/456";7;8;0;0;"pass";684
"457/457";9;6;0;0;"pass";648
"461/462";10;10;0;1;"pass";918
"463/464";11;5;0;1;"pass";684
"465/466";8;7;0;1;"pass";684
"471/472";9;7;0;1;"pass";720
"475/476";12;7;0;0;"pass";810
"477/478";12;8;0;1;"pass";882
"480/479";8;8;0;0;"pass";720
"483/484";10;8;0;0;"pass";792
"489/490";7;11;0;0;"pass";846
"493/493";8;7;0;0;"pass";666
"547/547";10;6;0;0;"pass";684
"609/610";8;9;0;0;"pass";774
"635/636";6;5;2;0;"pass";648
